"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",157,,35.29411765,11.76470588,,11.76470588,11.76470588,11.76470588,,,,23.52941176,11.76470588,11.76470588,,,11.76470588,23.52941176,11.76470588,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",158,,,,,28.16901408,,,,14.08450704,,,,,42.25352113,56.33802817,70.42253521,14.08450704,,84.50704225,28.16901408
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",159,12.98701299,12.98701299,12.98701299,,,,,12.98701299,,,,,,25.97402597,,12.98701299,25.97402597,25.97402597,12.98701299,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",160,,,,,13.88888889,13.88888889,,,,13.88888889,,13.88888889,27.77777778,,13.88888889,,41.66666667,13.88888889,13.88888889,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",161,33.33333333,33.33333333,11.11111111,22.22222222,11.11111111,,11.11111111,11.11111111,11.11111111,22.22222222,11.11111111,11.11111111,,22.22222222,,22.22222222,22.22222222,33.33333333,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",162,,,,11.23595506,,11.23595506,11.23595506,,11.23595506,,33.70786517,,11.23595506,,11.23595506,,11.23595506,,44.94382022,11.23595506
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",163,10.1010101,10.1010101,,40.4040404,10.1010101,20.2020202,10.1010101,20.2020202,40.4040404,,10.1010101,40.4040404,20.2020202,30.3030303,40.4040404,30.3030303,20.2020202,20.2020202,50.50505051,20.2020202
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",164,,,,,,,,,,,,,,,,,14.28571429,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",165,13.33333333,26.66666667,13.33333333,40,13.33333333,,26.66666667,13.33333333,13.33333333,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",167,,,,12.04819277,,,,12.04819277,,,,12.04819277,24.09638554,,12.04819277,,12.04819277,24.09638554,12.04819277,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",168,8.474576271,,,4.237288136,4.237288136,4.237288136,4.237288136,8.474576271,,,,,,,4.237288136,,,4.237288136,8.474576271,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",169,16.2601626,8.130081301,16.2601626,8.130081301,32.5203252,,,8.130081301,8.130081301,8.130081301,16.2601626,16.2601626,16.2601626,32.5203252,8.130081301,8.130081301,,32.5203252,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",170,12.5,12.5,12.5,,12.5,37.5,25,37.5,,12.5,12.5,50,25,50,37.5,,62.5,,12.5,25
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",171,29.19708029,7.299270073,14.59854015,7.299270073,14.59854015,,14.59854015,14.59854015,,,,,7.299270073,,7.299270073,14.59854015,,21.89781022,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",172,,56.17977528,,,11.23595506,11.23595506,33.70786517,22.47191011,22.47191011,44.94382022,11.23595506,22.47191011,,11.23595506,22.47191011,33.70786517,11.23595506,33.70786517,11.23595506,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",173,14.92537313,44.7761194,14.92537313,14.92537313,14.92537313,,,14.92537313,14.92537313,,,,,,,,14.92537313,,,14.92537313
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",174,16.77852349,3.355704698,,3.355704698,6.711409396,3.355704698,6.711409396,3.355704698,,13.42281879,,3.355704698,,,3.355704698,3.355704698,3.355704698,6.711409396,6.711409396,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",176,7.692307692,7.692307692,,,,7.692307692,,,,15.38461538,7.692307692,7.692307692,15.38461538,15.38461538,,23.07692308,,7.692307692,7.692307692,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",178,12.82051282,,,12.82051282,,12.82051282,25.64102564,,,,,,,12.82051282,12.82051282,38.46153846,25.64102564,25.64102564,12.82051282,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",179,8.064516129,8.064516129,,8.064516129,,8.064516129,8.064516129,16.12903226,8.064516129,16.12903226,16.12903226,,,,8.064516129,8.064516129,24.19354839,8.064516129,16.12903226,8.064516129
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",180,76.92307692,,,21.97802198,,54.94505495,32.96703297,21.97802198,21.97802198,10.98901099,,,,,21.97802198,,10.98901099,32.96703297,10.98901099,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",181,68.49315068,68.49315068,68.49315068,68.49315068,68.49315068,54.79452055,27.39726027,27.39726027,13.69863014,27.39726027,27.39726027,13.69863014,41.09589041,54.79452055,68.49315068,68.49315068,82.19178082,41.09589041,68.49315068,13.69863014
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",182,30.6122449,,10.20408163,20.40816327,,30.6122449,10.20408163,20.40816327,20.40816327,,10.20408163,,20.40816327,10.20408163,30.6122449,51.02040816,10.20408163,,,20.40816327
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",183,42.85714286,57.14285714,42.85714286,42.85714286,57.14285714,42.85714286,42.85714286,100,14.28571429,85.71428571,28.57142857,14.28571429,14.28571429,14.28571429,42.85714286,28.57142857,85.71428571,28.57142857,14.28571429,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",184,12.65822785,25.3164557,25.3164557,12.65822785,,,37.97468354,12.65822785,,37.97468354,,12.65822785,12.65822785,50.63291139,37.97468354,25.3164557,37.97468354,25.3164557,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",185.01,,29.41176471,29.41176471,,,,29.41176471,,,,58.82352941,29.41176471,58.82352941,58.82352941,88.23529412,88.23529412,29.41176471,58.82352941,58.82352941,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",185.02,,,,,90.90909091,30.3030303,30.3030303,,90.90909091,,60.60606061,60.60606061,30.3030303,60.60606061,60.60606061,303.030303,90.90909091,60.60606061,151.5151515,30.3030303
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",186,27.02702703,13.51351351,13.51351351,27.02702703,13.51351351,,,27.02702703,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",187,67.56756757,40.54054054,27.02702703,40.54054054,13.51351351,40.54054054,40.54054054,67.56756757,13.51351351,54.05405405,94.59459459,27.02702703,27.02702703,27.02702703,81.08108108,54.05405405,94.59459459,94.59459459,27.02702703,13.51351351
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",188,10.75268817,21.50537634,21.50537634,10.75268817,10.75268817,21.50537634,,,,,10.75268817,,,21.50537634,10.75268817,21.50537634,10.75268817,32.25806452,21.50537634,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",190,12.04819277,36.14457831,,12.04819277,24.09638554,24.09638554,,24.09638554,,,12.04819277,12.04819277,,24.09638554,36.14457831,12.04819277,12.04819277,36.14457831,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",191,58.82352941,47.05882353,23.52941176,82.35294118,23.52941176,82.35294118,94.11764706,117.6470588,70.58823529,82.35294118,35.29411765,35.29411765,35.29411765,35.29411765,129.4117647,47.05882353,35.29411765,35.29411765,11.76470588,23.52941176
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",192,,11.76470588,11.76470588,23.52941176,,11.76470588,11.76470588,,,11.76470588,11.76470588,,11.76470588,23.52941176,23.52941176,23.52941176,82.35294118,11.76470588,47.05882353,23.52941176
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",193,,,,,,200,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",194,37.03703704,12.34567901,,,,24.69135802,24.69135802,12.34567901,12.34567901,24.69135802,12.34567901,24.69135802,24.69135802,,,12.34567901,37.03703704,37.03703704,12.34567901,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",195,30.76923077,46.15384615,46.15384615,15.38461538,,,15.38461538,,15.38461538,,,15.38461538,,15.38461538,,15.38461538,30.76923077,,46.15384615,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",196,23.52941176,23.52941176,,35.29411765,,,23.52941176,,,23.52941176,,11.76470588,,11.76470588,,11.76470588,11.76470588,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",197,52.63157895,52.63157895,17.54385965,87.71929825,87.71929825,52.63157895,35.0877193,17.54385965,17.54385965,52.63157895,35.0877193,35.0877193,87.71929825,35.0877193,52.63157895,122.8070175,70.1754386,105.2631579,70.1754386,17.54385965
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",198,14.28571429,,42.85714286,14.28571429,28.57142857,14.28571429,28.57142857,,,28.57142857,14.28571429,,14.28571429,,14.28571429,,,28.57142857,28.57142857,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",199,100,37.5,50,25,12.5,62.5,37.5,75,37.5,25,37.5,75,37.5,50,50,62.5,25,62.5,100,37.5
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",200,,11.62790698,11.62790698,,,,11.62790698,11.62790698,,,,,,,23.25581395,23.25581395,81.39534884,46.51162791,23.25581395,11.62790698
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",201,67.41573034,56.17977528,78.65168539,67.41573034,67.41573034,11.23595506,89.88764045,67.41573034,,67.41573034,101.1235955,22.47191011,44.94382022,44.94382022,67.41573034,56.17977528,67.41573034,112.3595506,22.47191011,33.70786517
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",202,,10.98901099,,,,,,10.98901099,10.98901099,,,,10.98901099,10.98901099,,,10.98901099,,21.97802198,10.98901099
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",203,9.803921569,9.803921569,19.60784314,,19.60784314,39.21568627,19.60784314,29.41176471,19.60784314,19.60784314,49.01960784,19.60784314,39.21568627,29.41176471,39.21568627,39.21568627,29.41176471,29.41176471,78.43137255,9.803921569
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",204,22.47191011,11.23595506,11.23595506,,,22.47191011,,,11.23595506,11.23595506,22.47191011,22.47191011,,33.70786517,22.47191011,33.70786517,11.23595506,33.70786517,33.70786517,11.23595506
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",205,12.34567901,24.69135802,,24.69135802,12.34567901,,24.69135802,12.34567901,37.03703704,24.69135802,37.03703704,37.03703704,12.34567901,12.34567901,37.03703704,12.34567901,24.69135802,12.34567901,37.03703704,12.34567901
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",206,9.803921569,39.21568627,19.60784314,9.803921569,19.60784314,,19.60784314,,,,,,9.803921569,9.803921569,9.803921569,19.60784314,39.21568627,9.803921569,19.60784314,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",207,31.57894737,21.05263158,,10.52631579,31.57894737,21.05263158,10.52631579,,,42.10526316,21.05263158,21.05263158,,52.63157895,52.63157895,10.52631579,42.10526316,21.05263158,21.05263158,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",208,,,24.69135802,12.34567901,37.03703704,12.34567901,,,,24.69135802,12.34567901,,24.69135802,24.69135802,,12.34567901,37.03703704,37.03703704,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",210,,12.04819277,,24.09638554,12.04819277,,,12.04819277,,12.04819277,,12.04819277,12.04819277,,12.04819277,,12.04819277,12.04819277,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",212,32.96703297,54.94505495,,,21.97802198,,10.98901099,21.97802198,,10.98901099,10.98901099,10.98901099,,,,10.98901099,10.98901099,,10.98901099,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",213,90.90909091,90.90909091,,,,,,,,,,,,90.90909091,,,,90.90909091,181.8181818,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",214,,,12.98701299,12.98701299,,12.98701299,12.98701299,,,,25.97402597,12.98701299,12.98701299,12.98701299,,12.98701299,38.96103896,77.92207792,,12.98701299
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",215,,,,,,,,,,,,,,,,,,,,90.90909091
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",216,37.5,,12.5,25,,37.5,37.5,25,25,25,25,,,37.5,37.5,12.5,125,175,50,12.5
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",217,,29.41176471,58.82352941,29.41176471,29.41176471,58.82352941,29.41176471,29.41176471,117.6470588,88.23529412,88.23529412,147.0588235,88.23529412,,58.82352941,58.82352941,117.6470588,29.41176471,88.23529412,29.41176471
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",218,62.5,37.5,12.5,,12.5,12.5,37.5,25,,12.5,12.5,12.5,12.5,12.5,37.5,50,125,137.5,62.5,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",219,11.11111111,22.22222222,33.33333333,77.77777778,22.22222222,66.66666667,11.11111111,66.66666667,100,22.22222222,77.77777778,66.66666667,33.33333333,77.77777778,66.66666667,33.33333333,55.55555556,55.55555556,55.55555556,33.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",220,40,40,13.33333333,26.66666667,,13.33333333,,,,13.33333333,26.66666667,,,,,13.33333333,66.66666667,120,26.66666667,13.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",221,25.97402597,142.8571429,51.94805195,129.8701299,168.8311688,103.8961039,168.8311688,116.8831169,51.94805195,116.8831169,129.8701299,103.8961039,77.92207792,64.93506494,181.8181818,207.7922078,103.8961039,103.8961039,77.92207792,51.94805195
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",222,72.28915663,48.19277108,24.09638554,36.14457831,24.09638554,12.04819277,36.14457831,72.28915663,12.04819277,24.09638554,12.04819277,12.04819277,,12.04819277,60.24096386,24.09638554,108.4337349,108.4337349,12.04819277,24.09638554
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",223,13.69863014,41.09589041,41.09589041,27.39726027,13.69863014,13.69863014,68.49315068,13.69863014,54.79452055,82.19178082,54.79452055,27.39726027,27.39726027,82.19178082,82.19178082,54.79452055,95.89041096,54.79452055,54.79452055,27.39726027
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",224,24.69135802,,37.03703704,24.69135802,12.34567901,,24.69135802,12.34567901,24.69135802,12.34567901,12.34567901,,12.34567901,49.38271605,12.34567901,61.72839506,172.8395062,135.8024691,111.1111111,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",225,80,40,40,,40,80,40,160,80,120,240,200,40,160,120,40,80,40,40,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",226,14.28571429,14.28571429,28.57142857,,,,,14.28571429,28.57142857,,,,14.28571429,,28.57142857,28.57142857,85.71428571,85.71428571,57.14285714,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",227,68.18181818,68.18181818,34.09090909,56.81818182,90.90909091,113.6363636,125,68.18181818,79.54545455,113.6363636,125,90.90909091,45.45454545,79.54545455,159.0909091,113.6363636,102.2727273,136.3636364,68.18181818,34.09090909
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",228,13.88888889,,13.88888889,27.77777778,41.66666667,13.88888889,13.88888889,,,27.77777778,,13.88888889,13.88888889,13.88888889,27.77777778,69.44444444,125,27.77777778,41.66666667,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",229,55.55555556,33.33333333,11.11111111,55.55555556,111.1111111,144.4444444,77.77777778,77.77777778,166.6666667,122.2222222,88.88888889,155.5555556,144.4444444,177.7777778,211.1111111,122.2222222,200,233.3333333,111.1111111,55.55555556
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",230,12.65822785,,12.65822785,50.63291139,37.97468354,12.65822785,12.65822785,12.65822785,,12.65822785,,,12.65822785,,,25.3164557,88.60759494,63.29113924,50.63291139,25.3164557
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",231,23.80952381,59.52380952,23.80952381,59.52380952,59.52380952,47.61904762,107.1428571,107.1428571,83.33333333,130.952381,83.33333333,47.61904762,47.61904762,119.047619,107.1428571,119.047619,95.23809524,107.1428571,23.80952381,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",232,55.55555556,13.88888889,55.55555556,13.88888889,69.44444444,41.66666667,27.77777778,41.66666667,,27.77777778,,,,,41.66666667,83.33333333,125,194.4444444,111.1111111,27.77777778
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",233,26.31578947,78.94736842,39.47368421,65.78947368,105.2631579,144.7368421,105.2631579,92.10526316,78.94736842,105.2631579,78.94736842,118.4210526,118.4210526,65.78947368,118.4210526,157.8947368,197.3684211,118.4210526,157.8947368,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",234,13.15789474,,26.31578947,26.31578947,,13.15789474,26.31578947,,,13.15789474,26.31578947,,13.15789474,26.31578947,13.15789474,13.15789474,39.47368421,13.15789474,13.15789474,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",235,28.98550725,14.49275362,14.49275362,28.98550725,72.46376812,57.97101449,14.49275362,14.49275362,43.47826087,43.47826087,,14.49275362,14.49275362,14.49275362,43.47826087,14.49275362,188.4057971,43.47826087,,28.98550725
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",236,,,,,,15.15151515,15.15151515,,,15.15151515,30.3030303,,,15.15151515,,,15.15151515,75.75757576,30.3030303,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",237,16.66666667,16.66666667,,33.33333333,50,66.66666667,50,33.33333333,33.33333333,33.33333333,33.33333333,,,16.66666667,33.33333333,16.66666667,100,83.33333333,100,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",238,25.64102564,12.82051282,38.46153846,12.82051282,25.64102564,25.64102564,,38.46153846,,,12.82051282,,,,,,25.64102564,25.64102564,25.64102564,12.82051282
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",239,,,,,,117.6470588,58.82352941,,58.82352941,58.82352941,58.82352941,,58.82352941,,58.82352941,235.2941176,176.4705882,58.82352941,176.4705882,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",240,35.71428571,35.71428571,35.71428571,59.52380952,11.9047619,11.9047619,35.71428571,35.71428571,11.9047619,11.9047619,,23.80952381,23.80952381,23.80952381,,23.80952381,47.61904762,71.42857143,71.42857143,23.80952381
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",241,47.61904762,23.80952381,23.80952381,47.61904762,71.42857143,71.42857143,35.71428571,71.42857143,11.9047619,23.80952381,35.71428571,35.71428571,59.52380952,35.71428571,130.952381,95.23809524,142.8571429,95.23809524,83.33333333,35.71428571
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",242,11.49425287,11.49425287,45.97701149,22.98850575,,,11.49425287,,34.48275862,,,11.49425287,,,22.98850575,,45.97701149,11.49425287,11.49425287,22.98850575
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",243,81.81818182,36.36363636,118.1818182,81.81818182,100,172.7272727,163.6363636,236.3636364,90.90909091,154.5454545,118.1818182,172.7272727,118.1818182,209.0909091,154.5454545,272.7272727,245.4545455,172.7272727,227.2727273,63.63636364
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",244,,,51.94805195,,,12.98701299,25.97402597,,,38.96103896,38.96103896,12.98701299,12.98701299,38.96103896,38.96103896,90.90909091,155.8441558,168.8311688,155.8441558,103.8961039
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",245,88.88888889,14.81481481,44.44444444,29.62962963,88.88888889,66.66666667,66.66666667,74.07407407,51.85185185,81.48148148,88.88888889,51.85185185,96.2962963,155.5555556,111.1111111,103.7037037,162.962963,118.5185185,44.44444444,37.03703704
