,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
58,414940,SACC,Registration ,10/30/2009 0:00,10/30/2015 0:00,10/29/2019 0:00,Brooklyn 20,130,130,40.627754,-74.004164,21200
59,421439,GFDC,License ,1/8/2010 0:00,1/8/2016 0:00,1/7/2020 0:00,Brooklyn 20,4,16,40.607433,-73.984091,42800
60,428085,GFDC,License ,8/30/2010 0:00,8/30/2016 0:00,8/29/2020 0:00,Brooklyn 20,2,14,40.623624,-74.023872,14200
61,431042,GFDC,License ,7/14/2010 0:00,7/14/2016 0:00,7/13/2020 0:00,Brooklyn 20,4,16,40.620366,-74.02149,14000
62,434914,SACC,Registration ,3/23/2010 0:00,3/23/2016 0:00,3/22/2020 0:00,Brooklyn 20,350,350,40.615163,-73.987044,25600
63,435884,FDC,Registration ,6/16/2010 0:00,6/16/2016 0:00,6/15/2020 0:00,Brooklyn 20,1,7,40.620788,-74.023654,14200
64,437651,GFDC,License ,6/3/2010 0:00,6/3/2016 0:00,6/2/2020 0:00,Brooklyn 20,4,16,40.634636,-74.007845,10400
65,447091,GFDC,License ,7/14/2010 0:00,7/14/2016 0:00,7/13/2020 0:00,Brooklyn 20,4,16,40.640953,-74.019872,7200
66,447170,GFDC,License ,8/11/2010 0:00,8/11/2016 0:00,8/10/2020 0:00,Brooklyn 20,4,16,40.642224,-74.018856,7400
67,455098,GFDC,License ,8/17/2010 0:00,8/17/2016 0:00,8/16/2020 0:00,Brooklyn 20,4,16,40.60751,-74.006231,18000
68,471424,GFDC,License ,11/9/2010 0:00,11/9/2012 0:00,11/8/2016 0:00,Brooklyn 20,4,16,40.633162,-73.988736,23400
69,473064,GFDC,License ,12/29/2010 0:00,12/29/2012 0:00,12/28/2016 0:00,Brooklyn 20,4,16,40.628398,-73.979916,47400
70,495043,GFDC,License ,2/10/2011 0:00,2/10/2013 0:00,2/9/2017 0:00,Brooklyn 20,4,16,40.607426,-73.991039,27000
71,499198,GFDC,License ,1/4/2011 0:00,1/4/2013 0:00,1/3/2017 0:00,Brooklyn 20,4,16,40.640121,-73.970226,49200
