CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
30,2007,2,4,17,18,13,13,-0.777778,-14,-0.692308,-9,-0.692308,-9,36047003000,11220
30,2007,3,19,4,13,19,19,0.461538,6,0,0,0,0,36047003000,11220
30,2007,4,12,19,13,10,10,-0.076923,-1,0.2,2,0.2,2,36047003000,11220
30,2007,5,11,12,16,12,12,-0.3125,-5,-0.083333,-1,-0.083333,-1,36047003000,11220
30,2008,0,10,10,15,9,9,-0.333333,-5,0.111111,1,0.111111,1,36047003000,11220
30,2008,1,17,10,17,16,16,0,0,0.0625,1,0.0625,1,36047003000,11220
30,2008,2,17,17,4,16,16,3.25,13,0.0625,1,0.0625,1,36047003000,11220
30,2008,3,7,17,19,10,10,-0.631579,-12,-0.3,-3,-0.3,-3,36047003000,11220
30,2008,4,20,7,12,17,17,0.666667,8,0.176471,3,0.176471,3,36047003000,11220
30,2008,5,14,20,11,10,10,0.272727,3,0.4,4,0.4,4,36047003000,11220
30,2009,0,11,11,10,16,16,0.1,1,-0.3125,-5,-0.3125,-5,36047003000,11220
30,2009,1,11,11,17,4,4,-0.352941,-6,1.75,7,1.75,7,36047003000,11220
30,2009,2,17,11,17,18,18,0,0,-0.055556,-1,-0.055556,-1,36047003000,11220
30,2009,3,16,17,7,13,13,1.285714,9,0.230769,3,0.230769,3,36047003000,11220
30,2009,4,7,16,20,13,13,-0.65,-13,-0.461538,-6,-0.461538,-6,36047003000,11220
30,2009,5,23,7,14,16,16,0.642857,9,0.4375,7,0.4375,7,36047003000,11220
30,2010,0,16,16,11,15,15,0.454545,5,0.066667,1,0.066667,1,36047003000,11220
30,2010,1,11,16,11,17,17,0,0,-0.352941,-6,-0.352941,-6,36047003000,11220
30,2010,2,13,11,17,4,4,-0.235294,-4,2.25,9,2.25,9,36047003000,11220
30,2010,3,16,13,16,19,19,0,0,-0.157895,-3,-0.157895,-3,36047003000,11220
30,2010,4,16,16,7,12,12,1.285714,9,0.333333,4,0.333333,4,36047003000,11220
30,2010,5,7,16,23,11,11,-0.695652,-16,-0.363636,-4,-0.363636,-4,36047003000,11220
34,2001,0,13,13,13,13,13,0,0,0,0,0,0,36047003400,11209
34,2001,1,17,13,17,17,17,0,0,0,0,0,0,36047003400,11209
34,2001,2,17,17,17,17,17,0,0,0,0,0,0,36047003400,11209
34,2001,3,23,17,23,23,23,0,0,0,0,0,0,36047003400,11209
34,2001,4,9,23,9,9,9,0,0,0,0,0,0,36047003400,11209
34,2001,5,7,9,7,7,7,0,0,0,0,0,0,36047003400,11209
34,2002,0,17,17,13,17,17,0.307692,4,0,0,0,0,36047003400,11209
34,2002,1,11,17,17,11,11,-0.352941,-6,0,0,0,0,36047003400,11209
34,2002,2,14,11,17,14,14,-0.176471,-3,0,0,0,0,36047003400,11209
34,2002,3,18,14,23,18,18,-0.217391,-5,0,0,0,0,36047003400,11209
34,2002,4,19,18,9,19,19,1.111111,10,0,0,0,0,36047003400,11209
34,2002,5,9,19,7,9,9,0.285714,2,0,0,0,0,36047003400,11209
34,2003,0,18,18,17,18,18,0.058824,1,0,0,0,0,36047003400,11209
34,2003,1,19,18,11,19,19,0.727273,8,0,0,0,0,36047003400,11209
34,2003,2,15,19,14,15,15,0.071429,1,0,0,0,0,36047003400,11209
34,2003,3,17,15,18,17,17,-0.055556,-1,0,0,0,0,36047003400,11209
34,2003,4,17,17,19,17,17,-0.105263,-2,0,0,0,0,36047003400,11209
34,2003,5,21,17,9,21,21,1.333333,12,0,0,0,0,36047003400,11209
34,2004,0,20,20,18,13,13,0.111111,2,0.538462,7,0.538462,7,36047003400,11209
34,2004,1,19,20,19,17,17,0,0,0.117647,2,0.117647,2,36047003400,11209
34,2004,2,20,19,15,17,17,0.333333,5,0.176471,3,0.176471,3,36047003400,11209
34,2004,3,15,20,17,23,23,-0.117647,-2,-0.347826,-8,-0.347826,-8,36047003400,11209
34,2004,4,18,15,17,9,9,0.058824,1,1,9,1,9,36047003400,11209
34,2004,5,18,18,21,7,7,-0.142857,-3,1.571429,11,1.571429,11,36047003400,11209
34,2005,0,18,18,20,17,17,-0.1,-2,0.058824,1,0.058824,1,36047003400,11209
34,2005,1,25,18,19,11,11,0.315789,6,1.272727,14,1.272727,14,36047003400,11209
34,2005,2,21,25,20,14,14,0.05,1,0.5,7,0.5,7,36047003400,11209
34,2005,3,18,21,15,18,18,0.2,3,0,0,0,0,36047003400,11209
34,2005,4,14,18,18,19,19,-0.222222,-4,-0.263158,-5,-0.263158,-5,36047003400,11209
34,2005,5,19,14,18,9,9,0.055556,1,1.111111,10,1.111111,10,36047003400,11209
34,2006,0,24,24,18,18,18,0.333333,6,0.333333,6,0.333333,6,36047003400,11209
34,2006,1,23,24,25,19,19,-0.08,-2,0.210526,4,0.210526,4,36047003400,11209
34,2006,2,21,23,21,15,15,0,0,0.4,6,0.4,6,36047003400,11209
34,2006,3,21,21,18,17,17,0.166667,3,0.235294,4,0.235294,4,36047003400,11209
34,2006,4,14,21,14,17,17,0,0,-0.176471,-3,-0.176471,-3,36047003400,11209
34,2006,5,12,14,19,21,21,-0.368421,-7,-0.428571,-9,-0.428571,-9,36047003400,11209
34,2007,0,27,27,24,20,20,0.125,3,0.35,7,0.35,7,36047003400,11209
34,2007,1,27,27,23,19,19,0.173913,4,0.421053,8,0.421053,8,36047003400,11209
34,2007,2,24,27,21,20,20,0.142857,3,0.2,4,0.2,4,36047003400,11209
34,2007,3,20,24,21,15,15,-0.047619,-1,0.333333,5,0.333333,5,36047003400,11209
34,2007,4,22,20,14,18,18,0.571429,8,0.222222,4,0.222222,4,36047003400,11209
